epoch,train_loss,eval_loss,eval_map
0,0.8948910000926372,0.8448744635687195,0.4659572795161474
1,0.8245729822269376,0.7630846616698475,0.575637046783359
2,0.8171091679057192,0.7510909315601043,0.5868741458290553
3,0.820041749694762,0.7488086489434856,0.5903619173361632
4,0.8141376162422596,0.7463089956639121,0.5965652214762723
5,0.8042588941286299,0.7431250723396859,0.5972346220690886
6,0.7967514412207954,0.7419324472944634,0.5948541033648059
7,0.792139078841208,0.7430931825394137,0.5939001186602964
8,0.7881069093760339,0.7447066905191135,0.590961375398143
9,0.7830907807487668,0.7438113021379841,0.5988590260208873
10,0.7802526774782846,0.74453940374926,0.607180551898441
11,0.7727266578190951,0.7446956213619927,0.6022705682570917
12,0.7664670191386196,0.7464635776448887,0.6003333902747084
13,0.7640057646981697,0.7485685583883324,0.5952078995779079
14,0.7563279731225732,0.7500147326621167,0.5978309504032723
15,0.7548042530225937,0.7506630333458505,0.5893689565674327
16,0.7517212983161133,0.751063701583118,0.5907052809474613
17,0.7433387643215158,0.7521216677594822,0.599244355606759
18,0.7483023079185419,0.7531938268332531,0.593616084346599
19,0.7480557388339834,0.7534983099960699,0.5938051760988213
20,0.7447015463767648,0.7533882346856607,0.5898891314288155
